compound,CmpdID,Pathway,parent,medRt,C_D0,C_D7,C_D14,C_D21,C_D28,C_D35,C_D42,G1_D0,G3_D0,G4_D0,G5_D0,G6_D0,G7_D0,G1_D7,G3_D7,G4_D7,G5_D7,G6_D7,G7_D7,G1_D14,G3_D14,G4_D14,G5_D14,G6_D14,G7_D14,G1_D21,G3_D21,G4_D21,G5_D21,G6_D21,G7_D21,G1_D28,G3_D28,G4_D28,G5_D28,G6_D28,G7_D28,G1_D35,G3_D35,G4_D35,G5_D35,G6_D35,G7_D35,G1_D42,G3_D42,G4_D42,G5_D42,G6_D42,G7_D42,Median Ctrl day 0,Median D0,Median D7,Median D14,Median D21,Median D28,Median D35,Median D42,FC42/0 ,pvalue
alanine,C00041,Aminoacids,90.05537,1.337379,8266462,4761906,5968166,10204500,8007756,7493374,6912342,6341368,6671248,5878004,5545736,5081238,4894200,5422346,4806352,4655058,4794983,5048038,3971057,4881339,5249754,4470268,4643908,7252138,5562176,9.31E+06,8.47E+06,7.94E+06,8.42E+06,7.91E+06,8.57E+06,6981784,6905932,6751526,6898264,8362476,7094642,6995012,7290094,6139962,6842058,8346854,7004828,6.56E+06,6.23E+06,5.64E+06,5.65E+06,5.97E+06,5.50E+06,8266462,5711870,4800667.5,5065546.5,8.45E+06,6943858,6999920,5.81E+06,1.02E+00,0.391191791
arginine,C00062,Aminoacids,175.1186,1.287,216901.6,55025.29,51434.12,88641.19,49107.22,77903.42,105470.5,149838.2,318100.6,83759.17,180113.9,151958.7,137075,109404.2,172065.4,59852.38,0,174837.3,103757.8,39036.68,81189,48472.72,63000.78,106224,80219.39,54910.03,94939.96,65878.45,77740.84,83767.87,90398.5,70600.33,107690.2,56096.98,90765.34,62680.89,87523.16,44777.72,75365.94,83032.45,69243.51,62827.18,52479.23,78231.38,84153.99,58832.58,73980.96,128544.8,86751.26,216901.6,150898.45,106581,71610.085,8.08E+04,79061.745,66035.345,8.12E+04,5.38E-01,0.046617321
asparagine,C00152,Aminoacids,133.0605,1.358351,427501.7,221702.6,222826.8,321912.1,228664.1,173917.9,175732.3,530838.9,503663.8,441393.8,545207.9,421782.3,415988.2,385915.8,290226.9,303965.1,406881.1,454927.3,321031.9,278005,278344.6,233776.7,343790.6,466415.8,392129.6,517012.5,376851.2,398613.9,524932.6,492488.1,485545.4,367642.8,269242.5,269028.9,369619.7,441864.4,415652.9,292039.7,251066.3,232003.8,334481.1,461330.4,392711,283545.7,214571.4,210099.4,320180.6,269090.5,286984.8,427501.7,472528.8,353473.85,311067.6,4.89E+05,368631.25,313260.4,2.76E+05,5.85E-01,0.000343281
aspartate,C00049,Aminoacids,134.0444,1.412377,3263464,2339621,1764776,2384665,1728725,1537095,1422330,4936714,4248578,4222378,4717155,1185447,1500019,1879968,2025578,2564719,2456399,1234111,905238.7,2016317,2027032,2985935,2603036,1618467,988918.9,2711300,3215740,3242978,3696456,1633902,2165240,2238306,2279614,2701138,2156115,1562880,1052514,2190524,2232239,2100777,2386873,1580892,1010101,1855861,1778616,1932899,1961609,949151.9,652937.1,3263464,4235478,1952773,2021674.5,2.96E+06,2197210.5,2145650.5,1.82E+06,4.29E-01,0.008549872
cysteine,C00097,Aminoacids,122.027,1.566031,17517.21,2618.473,3384.635,10353.61,3201.426,2231.416,2580.126,1559.324,1981.552,1372.425,6593.892,2967.63,1567.096,11043.67,4016.391,2245.435,3334.352,1832.23,8329.723,2693.381,2229.371,12732.46,2648.432,2818.964,4957.53,2335.098,7499.509,4837.829,2342.276,5121.434,4828.344,3467.881,3208.006,2170.239,6380.406,15899.48,3263.076,2350.26,5309.923,3041.826,2242.068,2560.509,12521.13,5490.605,4360.608,2860.846,13891.3,3942.281,1893.73,17517.21,1774.324,3675.3715,2756.1725,4.83E+03,3365.4785,2801.1675,4.15E+03,2.34E+00,0.047519792
glutamate,C00025,Aminoacids,148.06,1.365939,1786376,1404993,1275410,2160482,1835330,1964138,2020389,1651888,1093333,781170.3,763207.3,1283308,748336.1,964133.8,806824.2,723865.3,798351.8,1366762,659280.3,1103212,1115252,982665.6,934782.3,1827166,1225218,2.23E+06,1.97E+06,1.65E+06,1.70E+06,1.93E+06,2.18E+06,2039162,1830109,1468954,1552344,2234007,1677300,2071976,1719219,1576564,1632839,2709484,1712453,2.03E+06,1.80E+06,1.48E+06,1.51E+06,2.22E+06,1.60E+06,1786376,937251.65,802588,1109232,1.95E+06,1753704.5,1715836,1.70E+06,1.82E+00,0.000248837
glutamine,C00064,Aminoacids,147.076,1.361404,8446689,5147094,3929037,5363158,3681974,2807146,2336098,8262882,7573022,5256563,5212226,4156516,4582848,5138396,3777716,3024820,3561030,3914539,2915705,3167874,3344480,2900554,2394048,4270793,3374256,5.23E+06,4.98E+06,3.40E+06,3.20E+06,3.62E+06,3.83E+06,3275833,3325955,2287269,2084062,3401477,2458665,2449706,2400067,1738107,1733958,2451970,2103562,1.95E+06,1.82E+06,1.30E+06,1.09E+06,1.62E+06,1.33E+06,8446689,5234394.5,3669373,3256177,3.73E+06,2867249,2251814.5,1.47E+06,2.81E-01,0.000753643
glycine,C00037,Aminoacids,76.03997,1.297374,3423414,1944998,1603884,2490438,2014178,1648838,1963032,3505696,3096565,2835411,2335541,1618393,2154585,1966519,1505795,1828255,1732154,1665534,1542571,1513703,1556259,1578226,1443161,1764013,1691489,2770921,2140514,2155344,1986401,2095982,2392162,2022798,1620823,2063084,1648338,2326150,2270334,2140645,1603596,2086966,2009089,1905928,2254532,1980762,1803463,1446871,1685813,1747614,1446079,3423414,2585476,1698844,1567242.5,2.15E+06,2042941,2048027.5,1.72E+06,6.64E-01,0.016205206
histidine,C00135,Aminoacids,156.0764,1.26342,1441246,1125058,941495.2,1695696,1362048,1206492,1145136,1132643,1296867,1294000,1091404,922477.4,1322233,1003036,897852.4,999146.1,884399.4,870183.3,1152457,830220,857666.3,798287.8,0,1122173,1480912,1560105,1581500,1503040,1427426,1989845,1419710,1311046,1221764,1356890,1251782,1305659,1772898,1254455,1208723,1405775,1299894,1194427,1651808,1172021,1108505,1097992,988917.2,962908.8,1349412,1441246,1213321.5,948499.25,843943.15,1.53E+06,1308352.5,1277174.5,1.10E+06,9.09E-01,0.22965238
isoleucine,C16434,Aminoacids,132.1016,1.437704,28741280,17642820,20433410,30805180,26107270,25976950,25001920,20178000,18402160,12699790,17199510,14419140,12968490,15925250,12773920,10187000,11896240,15261570,14148330,14019220,13886420,12883800,12687500,20771130,14349080,2.48E+07,2.42E+07,1.65E+07,2.00E+07,2.02E+07,2.57E+07,19566360,19199640,15267870,17073390,24108220,17032940,19430730,19279160,15440200,18489350,24088370,17647060,1.85E+07,1.81E+07,1.37E+07,1.44E+07,1.95E+07,1.47E+07,28741280,15809325,13461125,13952820,2.22E+07,18136515,18884255,1.64E+07,1.04E+00,0.662379232
leucine,C16439,Aminoacids,132.1016,1.225223,34622250,29638810,23731970,37064300,29329440,24409100,23756310,22265760,24140540,14262310,17460310,16964260,15130690,13716460,13831160,11199300,14178360,15042030,10408530,14849800,13762990,9351367,13145100,22407970,15511720,24990250,22669330,15326910,16113230,18202530,24523960,18699850,17366440,16221820,15256160,24031120,14343870,19700550,17316320,13851370,16079610,21797770,17243900,16155760,14898440,12842100,14396680,17712140,12393670,34622250,17212285,13773810,14306395,2.04E+07,16794130,17280110,1.46E+07,8.51E-01,0.053574915
lysine,C00047,Aminoacids,147.1123,1.008672,1121092,620710.3,1023647,1532772,1382162,1544865,1367280,731490.2,974529.3,883362.2,740293.2,623666.2,688272.9,693161.4,817090.5,795112.1,684750.1,638606.2,598483.9,730704.2,890967.4,835303.2,769199.2,826241.3,847970.2,1290118,1471744,1378725,1257608,1149690,1027599,1053143,1286697,1191126,1057890,993731.5,1135161,1158262,1260995,1231220,1198286,956690.7,1186795,1122187,1269684,1122877,1058878,892569.1,983536.3,1121092,735891.7,688955.75,830772.25,1.27E+06,1096525.5,1192540.5,1.09E+06,1.48E+00,2.96E-05
methionine,C00073,Aminoacids,150.058,1.235755,1296753,919071.7,475064.5,283098.8,66804.18,8377.639,22703.14,937259.8,747288.7,469921.2,611198.1,362053.6,455599.7,594217.4,243264.8,159461.2,381261.9,303988.9,168250.8,242948.9,87703.48,9765.047,75904.93,55993,0,8.62E+04,7.81E+03,2.02E+04,9.71E+03,0.00E+00,9.69E+03,18624.91,0,0,6209.711,8250.886,11349.73,19723.83,7443.146,0,7875.529,5939.289,6968.429,7.77E+03,6.52E+03,7.80E+03,0.00E+00,6.01E+03,0.00E+00,1296753,540559.65,273626.85,65948.965,9.70E+03,7230.2985,7205.7875,6.26E+03,1.16E-02,0.00104467
phenylalanine,C02057,Aminoacids,166.0859,1.494912,2635134,1842446,2108635,3158182,2567941,2267286,2159858,2024298,2296244,1832922,1884335,1514222,2137856,1716330,1811969,1630707,1502249,1503792,2256797,1842467,1480538,1636270,1675820,2322688,1396408,2.55E+06,2.20E+06,2.22E+06,2.36E+06,2.73E+06,2.51E+06,1732266,1655569,2001032,1898281,2062039,1660212,2020988,1737090,1123158,1970345,1857490,1766139,1.81E+06,1.94E+06,1.14E+06,1.14E+06,1.56E+06,1.28E+06,2635134,1954316.5,1673518.5,1656045,2.43E+06,1815273.5,1811814.5,1.42E+06,7.25E-01,0.022322123
proline,C16435,Aminoacids,116.0706,1.221184,34845940,25456130,22685710,31895090,27207900,29214620,23925900,12587470,19361550,29298870,16969610,20328260,13331720,11968770,11437820,22745650,17397280,19771050,11358770,9725273,14992720,20729210,14091840,21238330,14284540,1.88E+07,2.13E+07,3.15E+07,2.35E+07,1.49E+07,2.67E+07,12925260,18488990,25717620,17237500,22478330,15712860,12618820,19958290,21356010,21433740,22107680,13697010,1.19E+07,1.41E+07,2.28E+07,1.90E+07,1.73E+07,1.27E+07,34845940,18165580,14683025,14638630,2.24E+07,17863245,20657150,1.57E+07,8.63E-01,0.133488114
serine,C00065,Aminoacids,106.0501,1.354448,692806.8,461731.4,469095.5,824314.3,622658.9,686371.7,616031.5,681229.8,598544.2,556911.4,566763.3,392570.5,551997.4,601931.4,408642.6,393579.6,459148.7,421749.4,426086,536840.9,396492.3,365632.6,467852.4,545999.6,601940,1015149,751169.2,671220.1,892931.1,835009,664645.4,780124.7,549149.7,569499,590182.8,646076.9,753685.3,738319.2,588249.9,595524.9,696642.8,690485.9,722720.7,737362.8,526584.1,511914.2,549494.6,431944.4,570316.8,692806.8,561837.35,423917.7,502346.65,7.93E+05,618129.85,693564.35,5.38E+05,9.58E-01,0.874084128
threonine,C00188,Aminoacids,120.0654,1.421435,1571536,1085775,348888.2,1918446,339379.8,1559247,1365060,1560121,1186766,1611977,283631.1,969809.6,984618.8,1178151,845959.7,1175789,329563.7,904853.9,773197.5,1099960,882624.8,1140975,967518.4,1226896,1115697,554558.8,394454.6,2056102,313944.1,1496754,265994.5,1647108,271029.2,280647.1,1430519,266256.2,432658,277828.2,1229621,1510421,1460142,293774.2,1417520,1418660,1051497,242113,221498.4,1057495,1084696,1571536,1085692.4,875406.8,1107828.5,4.75E+05,356652.55,1323570.5,1.05E+06,9.71E-01,0.315584775
tryptophan,C00806,Aminoacids,205.0965,1.241273,2416534,2206436,1681117,2819170,2034445,1751557,1663959,0,2273964,2003472,1544370,1226762,1235856,1401693,988257.2,1842026,1234320,1419127,854938.2,1245989,1720539,1280914,1128410,1391569,1519659,2481820,2530104,2253565,1736918,1787913,1707735,1737964,1967007,1852185,1248506,1685458,1856226,1690190,1831301,1984057,1591317,1498013,1563390,1698078,1603998,1703478,1367874,1196778,1268723,2416534,1390113,1318006.5,1336241.5,2.02E+06,1795074.5,1640753.5,1.49E+06,1.07E+00,0.794788718
tyrosine,C00082,Aminoacids,182.0808,1.420208,5790298,3963223,3856995,0,3441417,0,3132847,4656850,2718830,1978844,3697483,0,2189601,2201641,1800733,1495235,1771286,0,2408580,2286985,1570254,2045958,2152737,2542862,1263305,0.00E+00,2.47E+06,2.04E+06,2.94E+06,2.65E+06,3.50E+06,2434409,2008070,1820815,1906100,0,0,2651776,1938183,1485326,2063107,0,1751264,2.38E+06,1.72E+06,0.00E+00,1.56E+06,1.92E+06,0.00E+00,5790298,2454215.5,1786009.5,2099347.5,2.56E+06,1863457.5,1844723.5,1.64E+06,6.69E-01,0.114550996
valine,C00183,Aminoacids,118.0862,1.363534,87816120,62567840,59532000,76115400,64699910,62890800,60195050,106819400,61888210,69388700,70300220,84912660,89370750,91726400,47211260,52998030,57144580,85828840,62989840,75284350,42983480,48106380,47580550,86294890,65316130,9.95E+07,5.34E+07,6.34E+07,6.11E+07,7.61E+07,0.00E+00,90183900,47131640,55519620,50529660,90175420,69346030,84794250,44785660,54717920,53467220,90450120,70625740,8.02E+07,4.32E+07,5.16E+07,4.96E+07,7.77E+07,5.92E+07,87816120,77606440,60067210,56711255,6.23E+07,62432825,62671830,5.54E+07,7.14E-01,0.001605165
cystine,C00491,Aminoacids,241.0296,1.347632,98756.13,78660.7,23978.76,60294.98,56350.06,101276.9,191446.4,93489.97,62054.61,85067.63,83199.31,49813.16,94261.73,78045.35,77942.57,80507.88,0,33744.4,68328.53,0,54608.91,0,81681.21,96613.48,37726.7,3.59E+04,7.42E+04,7.75E+04,5.99E+04,1.00E+05,5.68E+04,32756.08,32058.29,38325.92,60171.47,103338.8,112698.5,93296.88,42234.14,34376.05,92701.65,108165.8,64501.93,6.30E+04,6.39E+04,9.13E+04,5.68E+04,1.16E+05,1.04E+05,98756.13,84133.47,73135.55,46167.805,6.71E+04,49248.695,78601.79,7.76E+04,9.22E-01,0.759743229
kynurenine,C01718,Aminoacids,209.0915,1.500105,34132.13,38530.22,22276.3,24851.89,23814.62,28086.21,21205.72,42965.3,57907.7,30880.62,16906.71,18069.92,23491.83,21403.07,34906.33,20909.16,23852.67,15963.24,21690.33,27820.69,21165.77,30304.1,15894.35,42312.8,9926.571,3.29E+04,3.96E+04,2.20E+04,2.14E+04,2.33E+04,3.43E+04,22602.72,31723.05,29270.73,11916.42,11255.08,14021.06,16974.44,15619.97,3797.467,19985.54,14122.13,10862.32,1.41E+04,3.38E+04,1.26E+04,1.28E+04,5.93E+03,7.71E+03,34132.13,27186.225,21546.7,24493.23,2.81E+04,18311.89,14871.05,1.27E+04,4.66E-01,0.004800867
Orthophosphate,C00009,Phosphates,96.96793,1.529426,55921360,72203010,115904200,114459000,112795200,110208900,108824400,47042590,51809390,67613950,72487740,66643150,68798420,82613610,80376650,87701400,96455130,95634660,74854890,107202500,112862300,108330400,117247600,113297100,108388200,117677200,118861600,112292800,121787800,106367700,120609400,123121600,128887900,112848800,117660600,110365200,100213500,114374900,116868900,108048300,111139000,108389800,99078020,119841800,121574100,95414520,103833600,102620800,87554310,55921360,67128550,85157505,110625250,1.18E+08,115254700,109764400,1.03E+08,1.54E+00,0.005925059
Diphosphate,C00013,Phosphates,176.9346,1.527702,5793702,10008820,22268180,23252210,24460910,23325910,22785800,4639128,4866377,8559163,7976048,6898610,7295046,11771270,11108410,13744040,15459400,16810480,11076360,21451740,23475860,21243980,24064940,23224550,20037470,24412450,26971410,20552410,24565060,19859580,25263970,26664690,28043500,22192500,24416940,24061940,19641610,23881190,26164160,19244570,22377530,23070660,18532730,26211770,25742070,18531340,22325540,20636500,16806270,5793702,7096828,12757655,22338145,2.45E+07,24239440,22724095,2.15E+07,3.03E+00,0.000876385
Triphosphate,C00536,Phosphates,256.9024,1.198149,731016,238476.4,404026.5,376845.7,407578.1,440231.7,325233.8,766313.6,761482.2,762398.3,827622.8,427529.2,734273.2,439745.5,681173,485977.4,562293.8,498983.9,583959.4,524388.4,436156.1,571711.8,536762.8,501840.2,554808.6,403349.3,500119,506810.2,433762.5,471418.4,415314.2,348885.8,297451,429914.7,482467.9,403459.2,323128.9,335401,414495.8,423479.7,482034.1,395130.3,359084.8,250520.5,441647.7,330249.2,309257.4,360694.5,274572,731016,761940.25,530638.85,530575.6,4.53E+05,376172.5,404813.05,3.20E+05,4.20E-01,0.002748749
NAD+,C00003,Nucleotides,665.1172,1.487315,439531.5,303368,252657.7,314507.8,239017.8,166089.4,119900.1,516264.3,386707.7,436391.9,409016.5,144761.3,412581.9,207112.8,250552.1,323685.8,249100.9,145353.7,257867.1,272264.7,153395.2,363219.5,255184.1,228162.4,198679,2.62E+05,2.25E+05,3.42E+05,3.03E+05,4.42E+05,3.19E+05,193297.8,183744.1,297192.5,180074.5,195926.5,197530.7,237136.5,180005.7,120931.3,152833.4,131175.8,186872.5,2.01E+05,1.54E+05,1.32E+05,1.26E+05,1.08E+05,1.61E+05,439531.5,410799.2,249826.5,241673.25,3.11E+05,194612.15,166419.55,1.43E+05,3.48E-01,0.002426222
NADH,C00004,Nucleotides,666.1193,1.482718,76042.73,77132.27,63423.71,68446.65,66560.3,30304.77,24861.83,104778.1,68431.25,97111.87,77813.77,30881.67,92549.19,58810.92,55874.93,73318.95,67834.38,30208.28,48478.82,69326.18,38556.81,76871.7,53368.1,48996.89,34236.61,69341.31,52136.42,83673.01,41353.8,87986.4,79951.11,48646.69,43295.73,44695.75,32082.43,35058.14,23352.49,52490.49,27772.8,16409.5,38726.6,31422.41,33377.47,50210.97,29034.45,8332.188,10307.59,9673.605,36994.91,76042.73,85181.48,57342.925,51182.495,7.46E+04,39176.935,32399.94,1.97E+04,2.31E-01,0.002206864
NADPH,C00005,Nucleotides,745.0831,2.491222,50837.2,31119.49,21256.61,16283.22,10358.36,4824.885,5798.177,75000.93,93288.3,89885.56,95879.82,35707.04,60070.75,68337.69,67553.43,72811.09,76795.5,33745.53,54449.78,45700.03,38857.08,41361.79,51493.89,13498.56,26586.31,4.13E+04,4.27E+04,2.86E+04,4.61E+04,1.44E+04,1.13E+04,23661.85,31819.31,22007.25,18431.36,6021.227,11820.9,14603.8,17729.88,11637.28,19991.66,4292.873,2188.676,1.01E+04,1.35E+04,1.14E+04,2.30E+03,2.90E+03,3.44E+03,50837.2,82443.245,67945.56,40109.435,3.49E+04,20219.305,13120.54,6.76E+03,8.20E-02,0.000566405
NADP+,C00006,Nucleotides,746.0862,2.466878,12523.08,4495.476,1432.491,1969.325,1507.964,2304.069,1596.085,12162.59,27065.77,22112.69,26502.78,4164.518,17836.48,17843.06,13944.95,17078.44,19224.51,1587.48,15323.68,4487.199,11765.89,10824.76,4905.738,4189.407,6551.578,5349.578,8262.044,9191.469,3393.694,2465.126,1444.7,2681.809,5764.064,1759.088,1910.507,0,1667.633,2683.596,4020.12,2213.792,1713.14,0,0,1720.854,1501.142,1342.394,0,0,0,12523.08,19974.585,16201.06,5728.658,4.37E+03,1834.7975,1963.466,6.71E+02,3.36E-02,0.004470444
ADP,C00008,Nucleotides,426.0309,1.427614,1335251,1685471,809284.3,1151926,830276.2,1079482,965833.5,682719,642113.9,517372,735179,1681387,589419,1113309,693239.6,779438.8,765401.3,1491526,917288.8,753148.5,683625.7,715093.4,420961.2,1123783,828852.9,965935.5,890880.3,595271.1,397507.8,715020.7,798820.2,970001.3,613318.7,433269.4,295714.5,597378.3,349099.9,522256.3,462435,390632,321472.3,552641.9,316228,519632,460068.2,235374.2,256499.6,765349.8,292308.5,1335251,662416.45,848363.8,734120.95,7.57E+05,515323.85,426533.5,3.76E+05,5.68E-01,0.020349217
AMP,C00020,Nucleotides,348.0692,1.512807,1735953,1624406,5321210,8936263,8771471,7480678,8804853,911079,1364437,1553135,1470466,1902218,1593425,611712.4,837210.2,2201779,1422131,1725763,1844324,2821662,3253465,6575712,4987346,5522506,4073158,6900406,8012130,10149590,10242440,9364196,12621630,7996678,10066040,11492140,8727677,10667160,9726661,10138880,11808800,6700078,10531000,9581560,11023370,11241160,10123580,7986696,11102640,8131132,11123340,1735953,1511800.5,1573947,4530252,9.76E+06,9896350.5,10334940,1.06E+07,7.02E+00,7.30E-05
UDP-glucose,C00029,Nucleotides,565.0462,1.717844,40629.9,118050.8,134166.7,159714.1,158328.3,124557.5,129671.6,0,87749.95,98422.98,110583.6,111745,52312.62,128431.7,46005.47,188158.5,174135.8,175812.6,140529.1,200076.9,168361.2,158979.9,165116.9,215650.5,148550.6,201387.6,151973.6,169979.9,162502.3,204848.5,166261.6,187558.8,147062.4,143002.3,119469.3,134961,123010.9,144111.8,68310.32,140856.9,100984.1,120267.4,107149,122831.5,0,0,105380,93973.65,89660.85,40629.9,93086.465,157332.45,166739.05,1.68E+05,138981.65,113708.2,9.18E+04,9.86E-01,0.817587338
GDP,C00035,Nucleotides,444.03,1.701728,21153.48,40220.2,51536.42,0,35425.86,24094.49,19738.74,8723.327,27474.04,35304.65,57682.39,41661.36,43708.72,0,30047.9,41029.02,68028.62,43973.94,40438.81,47377.76,23640.45,28983.99,37095.32,44011.14,26845.19,45066.04,20744.06,29857.29,45794.34,23410.21,18824.7,29827.72,16034.88,24045.22,27271.45,30166.62,22953.17,27789.81,14225.97,14736.54,26155,18583.71,12612.11,0,17965.59,20741.52,15888.38,16901.76,13099.38,21153.48,38483.005,40733.915,33039.655,2.66E+04,25658.335,16660.125,1.64E+04,4.26E-01,0.009880436
CMP,C00055,Nucleotides,324.0578,1.517003,12392.46,4018.244,4922.649,2225.19,8113.565,3390.459,2968.705,2500.291,2530.92,0,10875.05,3008.126,3222.279,2311.771,1749.935,2846.087,0,0,0,2585.669,0,1713.745,3130.82,3459.655,0,0,0,3192.105,2218.07,0,5049.484,3185.234,0,0,0,0,0,0,0,3581.37,2534.481,0,0,0,2254.139,0,2944.05,0,0,12392.46,2769.523,874.9675,2149.707,1.11E+03,0,0,0.00E+00,0.00E+00,0.060152734
CTP,C00063,Nucleotides,484.0015,1.498359,0,0,0,5949.315,10570,0,3184.49,0,0,0,0,0,0,0,0,0,0,0,0,2577.082,0,0,3120.837,0,0,5105.732,7773.252,3703.507,7124.188,3781.584,11490.83,3571.816,4322.853,4425.252,5145.412,14233.75,4644.396,8110.27,21677.27,0,13427.39,17059.76,6252.764,5428.184,6005.978,7838.711,8685.023,0,4502.194,0,0,0,0,6.11E+03,4534.824,10768.83,5.72E+03,#ΔΙΑΙΡ/0!,0.007578208
UTP,C00075,Nucleotides,482.96,1.885756,7447.908,47274.48,71762.62,65886.56,56176.41,29055.57,8247.325,0,6095.764,13649.11,8056.242,26875.44,22460.2,30892.92,0,105516.6,88702.06,93793.7,101555.4,46628.8,68797.16,63606.77,68538.02,90144.66,78948.27,38166.1,30191.49,74724.81,56954.55,65007.38,61191.38,26173.76,21009.38,38960.28,41209.61,47373.73,46211.28,17313.59,24283.07,27513.03,27492.27,27478.05,41494.68,6611.053,5274.887,15977.43,22174.31,22632.96,19152.63,7447.908,10852.676,91247.88,68667.59,5.91E+04,40084.945,27485.16,1.76E+04,1.62E+00,0.428269042
UMP,C00105,Nucleotides,325.0361,1.253502,0,0,0,0,12102.62,31700.1,15674.52,0,0,0,0,12391.97,0,0,9393.328,0,0,0,0,0,0,0,0,0,0,0,0,12092.8,0,0,0,0,12117.8,0,0,28864.37,11703.46,11937.16,0,36941.24,12599.06,10724.22,16504.58,36561.81,22104.11,24409.41,27258.92,22312.11,42071.45,0,0,0,0,0.00E+00,5851.73,12268.11,2.58E+04,#ΔΙΑΙΡ/0!,0.002062713
IMP,C00130,Nucleotides,349.0535,1.659661,221894.4,166203,276428,377137.8,252031.1,218303.6,218837.9,80420.27,93894.59,184649.1,127907.7,178659.7,152812.7,157234.6,130926.6,178992.2,163928,196208.5,133714.6,248977.4,262097.5,170204.6,188653.3,293208.5,219739.7,376762.1,413322.8,227636.5,303546.7,248060.1,319248.9,260645.2,273812.5,180134,177864.9,250437.2,188139.6,182641.6,247249.2,134165.4,157193.3,235990.7,114607.3,124701.1,191482.8,116437.1,123808.6,142609.5,89103.53,221894.4,140360.2,160581.3,234358.55,3.11E+05,219288.4,169917.45,1.24E+05,8.85E-01,0.857793104
Uracil,C00106,Nucleotides,113.0346,1.490317,85876.09,82604.6,110881.2,141630.7,148395.6,153186.1,138562.2,111848.3,105691.3,100634.6,113002.9,85785.07,94364.46,76379.09,101290.3,102866.2,78286.46,83954.51,107543.9,86588.75,87378.4,112946.7,94777.38,138056.1,106436.1,131583.2,126901.5,170074.4,162623.3,168005,210117.5,101610.9,117287.4,140563.8,156268.4,124216.8,116717.5,133126.5,135658.1,106746,163732.2,134261.6,133129.7,138571.5,140141.8,93645.31,117145.4,103058.1,118600.2,85876.09,103162.95,92622.405,100606.74,1.65E+05,120752.1,133695.65,1.18E+05,1.14E+00,0.045962037
Adenine,C00147,Nucleotides,136.0613,1.243444,285002300,136993600,38085720,13143020,2699353,2165695,1964934,181836900,250962800,175165200,213710200,87854610,180017500,96130490,145812500,92238500,115088800,85940550,65262000,3022585,32144910,31599570,15316840,0,3151892,3769772,2955450,10567710,2651887,2904623,2645862,2570083,2438428,2516174,2365035,2457948,2352543,2251481,1930183,2064482,1931140,2133778,2159373,2050654,1673496,1947910,1804438,1746827,1874126,285002300,180927200,94184495,9234366,2.93E+06,2448188,2099130,1.84E+06,1.02E-02,0.000458482
Nicotinamide,C00153,Nucleotides,123.0552,1.414218,8042952,5519174,7569710,10910710,9969480,10696620,12581710,7141482,8678249,9036079,7926630,5947164,8290022,7551174,7495330,7343094,6323056,6139266,6629790,7543506,7790200,8130006,6934002,7830696,8875355,10742200,11101500,10592970,9067589,10784850,9939975,9553119,9849517,10819370,8450896,10889700,10651570,9822289,12598820,11282660,9322023,11101640,11369340,10903070,12220440,12190230,10107160,12014430,11535780,8042952,8108326,6986442,7810448,1.07E+07,10250543.5,11192150,1.18E+07,1.45E+00,0.000979736
Thymine,C00178,Nucleotides,127.05,1.267755,64357.72,45551.36,41725.19,36731.28,42447.66,32827.29,31276.3,62624.29,53733.03,58942.75,48960.45,32762.38,46680.57,41262.28,53390.71,47991.75,64914.25,46425.57,30274.21,26413.22,54117.78,36562.2,20739.94,31737,59702.61,64773.57,34262.19,30720.23,49268.93,48843.91,30821.99,62811.74,63034.17,77984.47,38237.95,52268.07,58244.63,29545.45,36679.82,37151.88,34213.78,55530.78,46770.43,42939.07,29159.03,35988.85,21212.89,22658.6,44616.97,64357.72,51346.74,47208.66,34149.6,4.16E+04,60528.185,36915.85,3.26E+04,6.34E-01,0.006669484
Adenosine,C00212,Nucleotides,268.1033,1.264718,728710.6,701757.3,688737.2,907594.5,1038969,950177,1014296,674339.9,700109.7,718360.7,573249.2,593769.7,628070.8,665874.4,568346.3,643041.9,650092.9,605938,611830.9,690158.8,739163.9,686677.4,723631.1,773438.5,883284.8,856122.4,1023414,966885.1,1026005,992890,934125.8,983920.7,984601.3,1014060,918032.4,1159951,1161098,1061322,949375.1,1042279,897525.8,1246993,1162026,1080305,857659.6,1027120,1136031,872233,1043975,728710.6,651205.35,627436.4,731397.5,9.80E+05,999330.65,1051800.5,1.04E+06,1.59E+00,0.001526988
Thymidine,C00214,Nucleotides,241.0925,1.199255,106033.9,192981.7,78372.59,96691.23,97482.99,63992.97,68208.79,110985.9,68069.88,84937.34,68687.88,156262,85342.6,76455.65,39795.25,105041.2,98924.84,84354.88,100492,63606.54,102550.6,70337.98,74811.59,59906.3,74273.23,68439.78,39821.55,53073.12,43468.93,79428.45,64107.14,50553.62,63375.47,68901.43,33259.16,62315.51,70556.35,74970.27,44580.79,63126.14,69567.36,89199.51,90008.94,37202.57,39523.23,69832.47,68782.37,74702.09,66270.59,106033.9,85139.97,91639.86,72305.605,5.86E+04,62845.49,72268.815,6.75E+04,7.93E-01,0.0447356
