node1_id,node2_id,node1,node2,combined_score,neighborhood_score,coexpression_score,database_score,textmining_score
9606.ENSP00000320171,9606.ENSP00000226253,PKM,ALDOC,0.986,0.683,0.068,0.8,0.799
9606.ENSP00000321259,9606.ENSP00000280605,TALDO1,TKTL2,0.986,0.462,0.444,0.186,0.9
9606.ENSP00000344818,9606.ENSP00000297283,UBC,PGAM2,0.986,0.985,0.0,0.0,0.0
9606.ENSP00000377192,-1.CID100000076,G6PD,DHEA,0.986,0.179,0.8,0.924,0.0
9606.ENSP00000229239,-1.CID100001003,GAPDH,phosphate,0.985,0.618,0.9,0.65,0.0
9606.ENSP00000342032,9606.ENSP00000229239,BPGM,GAPDH,0.985,0.184,0.67,0.9,0.513
9606.ENSP00000405573,-1.CID100001003,GPI,phosphate,0.985,0.795,0.9,0.308,0.0
9606.ENSP00000336927,9606.ENSP00000324105,ALDOA,ENO3,0.985,0.736,0.246,0.8,0.677
9606.ENSP00000336927,9606.ENSP00000229239,ALDOA,GAPDH,0.984,0.284,0.265,0.202,0.9
9606.ENSP00000320171,9606.ENSP00000280704,PKM,LDHC,0.984,0.112,0.219,0.9,0.799
9606.ENSP00000405573,9606.ENSP00000292432,GPI,HK3,0.984,0.125,0.9,0.839,0.0
9606.ENSP00000363988,9606.ENSP00000320171,ALDOB,PKM,0.984,0.683,0.8,0.775,0.0
9606.ENSP00000405573,9606.ENSP00000366620,GPI,H6PD,0.984,0.608,0.073,0.9,0.621
-1.CID100001003,-1.CID100023925,phosphate,Fe(III,0.984,0.9,0.848,0.0,0.0
9606.ENSP00000369134,9606.ENSP00000320171,PDHA1,PKM,0.983,0.674,0.9,0.544,0.0
9606.ENSP00000405573,-1.CID100000208,GPI,alpha-D-Glucose,0.983,0.795,0.9,0.216,0.0
9606.ENSP00000377192,-1.CID100000208,G6PD,alpha-D-Glucose,0.983,0.8,0.9,0.21,0.0
9606.ENSP00000384774,-1.CID100000208,HK1,alpha-D-Glucose,0.982,0.8,0.9,0.163,0.0
9606.ENSP00000363988,9606.ENSP00000229239,ALDOB,GAPDH,0.982,0.284,0.265,0.202,0.9
9606.ENSP00000290573,-1.CID100000208,HK2,alpha-D-Glucose,0.982,0.8,0.9,0.163,0.0
9606.ENSP00000352401,9606.ENSP00000280605,RPE,TKTL2,0.982,0.284,0.22,0.14,0.253
9606.ENSP00000405573,9606.ENSP00000223366,GPI,GCK,0.982,0.125,0.9,0.812,0.0
9606.ENSP00000229239,9606.ENSP00000226253,GAPDH,ALDOC,0.982,0.284,0.265,0.202,0.9
9606.ENSP00000405573,9606.ENSP00000226253,GPI,ALDOC,0.982,0.667,0.8,0.758,0.0
9606.ENSP00000405573,9606.ENSP00000384774,GPI,HK1,0.982,0.125,0.9,0.811,0.0
9606.ENSP00000292432,-1.CID100000208,HK3,alpha-D-Glucose,0.982,0.8,0.9,0.163,0.0
9606.ENSP00000363988,9606.ENSP00000324105,ALDOB,ENO3,0.981,0.736,0.8,0.677,0.0
9606.ENSP00000336927,9606.ENSP00000226253,ALDOA,ALDOC,0.981,0.00790500000000001,0.907,0.8,0.0129
9606.ENSP00000324105,9606.ENSP00000226253,ENO3,ALDOC,0.981,0.736,0.8,0.68,0.0
9606.ENSP00000405573,9606.ENSP00000290573,GPI,HK2,0.981,0.125,0.9,0.802,0.0
-1.CID100000783,-1.CID100001003,hydrogen,phosphate,0.981,0.9,0.817,0.0,0.0
9606.ENSP00000359991,9606.ENSP00000324105,PGAM1,ENO3,0.98,0.089,0.433,0.087,0.9
9606.ENSP00000405573,9606.ENSP00000405455,GPI,TKT,0.98,0.462,0.127,0.9,0.634
9606.ENSP00000405573,9606.ENSP00000363988,GPI,ALDOB,0.98,0.667,0.8,0.727,0.0
9606.ENSP00000405573,9606.ENSP00000336927,GPI,ALDOA,0.98,0.667,0.8,0.725,0.0
9606.ENSP00000377192,-1.CID100000930,G6PD,NADPH,0.98,0.618,0.9,0.505,0.0
9606.ENSP00000377192,9606.ENSP00000270776,G6PD,PGD,0.979,0.462,0.404,0.531,0.389
9606.ENSP00000320171,9606.ENSP00000295266,PKM,PDHA2,0.978,0.674,0.9,0.386,0.0
9606.ENSP00000352401,9606.ENSP00000270776,RPE,PGD,0.977,0.107,0.27,0.9,0.696
9606.ENSP00000405455,9606.ENSP00000320171,TKT,PKM,0.977,0.279,0.24,0.644,0.8
-1.CID100000753,-1.CID100000784,glycerol,hydrogen perox.,0.977,0.9,0.779,0.0,0.0
-1.CID100000783,-1.CID100000930,hydrogen,NADPH,0.977,0.9,0.777,0.0,0.0
9606.ENSP00000405573,9606.ENSP00000377192,GPI,G6PD,0.977,0.462,0.072,0.9,0.596
9606.ENSP00000252603,-1.CID100000600,PGLS,6-phosphog.nol.,0.976,0.9,0.771,0.0,0.0
9606.ENSP00000405573,9606.ENSP00000229319,GPI,LDHB,0.976,0.113,0.157,0.8,0.858
9606.ENSP00000405573,9606.ENSP00000321259,GPI,TALDO1,0.976,0.462,0.277,0.9,0.473
9606.ENSP00000363988,9606.ENSP00000222286,ALDOB,GAPDHS,0.974,0.284,0.265,0.202,0.9
9606.ENSP00000226253,9606.ENSP00000222286,ALDOC,GAPDHS,0.974,0.284,0.265,0.202,0.9
9606.ENSP00000336927,9606.ENSP00000222286,ALDOA,GAPDHS,0.974,0.284,0.265,0.202,0.9
-1.CID100000784,-1.CID100000930,hydrogen perox.,NADPH,0.973,0.9,0.746,0.0,0.0
9606.ENSP00000342032,9606.ENSP00000324105,BPGM,ENO3,0.973,0.089,0.43,0.9,0.546
9606.ENSP00000384774,9606.ENSP00000344818,HK1,UBC,0.973,0.972,0.084,0.0,0.0
9606.ENSP00000377192,-1.CID100000600,G6PD,6-phosphog.nol.,0.972,0.9,0.731,0.0,0.0
9606.ENSP00000360124,9606.ENSP00000290573,PGM1,HK2,0.969,0.112,0.9,0.685,0.0
-1.CID100000076,-1.CID153629505,DHEA,androgen,0.968,0.968,0.0,0.0,0.0
9606.ENSP00000366620,-1.CID100000600,H6PD,6-phosphog.nol.,0.968,0.9,0.697,0.0,0.0
9606.ENSP00000295266,9606.ENSP00000280704,PDHA2,LDHC,0.968,0.087,0.9,0.687,0.0
9606.ENSP00000405573,9606.ENSP00000229239,GPI,GAPDH,0.967,0.126,0.289,0.8,0.768
9606.ENSP00000405573,9606.ENSP00000371393,GPI,PGM2,0.966,0.258,0.9,0.589,0.0
9606.ENSP00000360124,9606.ENSP00000346643,PGM1,HKDC1,0.964,0.112,0.9,0.631,0.0
9606.ENSP00000405455,9606.ENSP00000229239,TKT,GAPDH,0.964,0.462,0.075,0.8,0.686
-1.CID100000783,-1.CID100023925,hydrogen,Fe(III,0.964,0.9,0.653,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000363988,TKT,ALDOB,0.964,0.277,0.064,0.9,0.531
9606.ENSP00000360124,9606.ENSP00000292432,PGM1,HK3,0.963,0.112,0.9,0.62,0.0
9606.ENSP00000344818,9606.ENSP00000226253,UBC,ALDOC,0.963,0.961,0.089,0.0,0.0
9606.ENSP00000384774,9606.ENSP00000360124,HK1,PGM1,0.963,0.112,0.9,0.623,0.0
9606.ENSP00000405573,9606.ENSP00000359991,GPI,PGAM1,0.962,0.43,0.8,0.699,0.0
9606.ENSP00000342032,9606.ENSP00000222286,BPGM,GAPDHS,0.962,0.184,0.254,0.9,0.462
9606.ENSP00000405573,9606.ENSP00000297283,GPI,PGAM2,0.962,0.43,0.8,0.695,0.0
9606.ENSP00000360124,9606.ENSP00000321259,PGM1,TALDO1,0.962,0.288,0.665,0.8,0.295
-1.CID100000929,-1.CID100001003,NADPH,phosphate,0.962,0.9,0.633,0.0,0.0
-1.CID100000757,-1.CID100001003,glycolic acid,phosphate,0.961,0.9,0.627,0.0,0.0
9606.ENSP00000344818,9606.ENSP00000321259,UBC,TALDO1,0.961,0.09,0.957,0.073,0.0
9606.ENSP00000320171,9606.ENSP00000280706,PKM,LDHAL6A,0.961,0.112,0.219,0.9,0.511
9606.ENSP00000371393,-1.CID100000208,PGM2,alpha-D-Glucose,0.96,0.618,0.9,0.0,0.0
-1.CID100000783,-1.CID100000784,hydrogen,hydrogen perox.,0.96,0.9,0.3085,0.0,0.0
